Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,The Fellowship Offering,Leviticus 3:1-17[[@Bible:Leviticus 3:1-17]],Leviticus 3:1-17
,The Sin Offering,Leviticus 4:1-5:13[[@Bible:Leviticus 4:1-5:13]],Leviticus 4:1-5:13
,The Guilt Offering,Leviticus 5:14-6:7[[@Bible:Leviticus 5:14-6:7]],Leviticus 5:14-6:7
,The Burnt Offering,Leviticus 6:8-13[[@Bible:Leviticus 6:8-13]],Leviticus 6:8-13
,The Grain Offering,Leviticus 6:14-23[[@Bible:Leviticus 6:14-23]],Leviticus 6:14-23
,The Sin Offering,Leviticus 6:24-30[[@Bible:Leviticus 6:24-30]],Leviticus 6:24-30
,The Guilt Offering,Leviticus 7:1-10[[@Bible:Leviticus 7:1-10]],Leviticus 7:1-10
,The Fellowship Offering,Leviticus 7:11-21[[@Bible:Leviticus 7:11-21]],Leviticus 7:11-21
,Eating Fat and Blood Forbidden,Leviticus 7:22-27[[@Bible:Leviticus 7:22-27]],Leviticus 7:22-27
,The Priests' Share,Leviticus 7:28-38[[@Bible:Leviticus 7:28-38]],Leviticus 7:28-38
,The Ordination of Aaron and His Sons,Leviticus 8:1-36[[@Bible:Leviticus 8:1-36]],Leviticus 8:1-36
,The Priests Begin Their Ministry,Leviticus 9:1-24[[@Bible:Leviticus 9:1-24]],Leviticus 9:1-24
,The Death of Nadab and Abihu,Leviticus 10:1-20[[@Bible:Leviticus 10:1-20]],Leviticus 10:1-20
,Clean and Unclean Food,Leviticus 11:1-47[[@Bible:Leviticus 11:1-47]],Leviticus 11:1-47
,Purification After Childbirth,Leviticus 12:1-8[[@Bible:Leviticus 12:1-8]],Leviticus 12:1-8
,Regulations About Infectious Skin Diseases,Leviticus 13:1-46[[@Bible:Leviticus 13:1-46]],Leviticus 13:1-46
,Regulations About Mildew,Leviticus 13:47-59[[@Bible:Leviticus 13:47-59]],Leviticus 13:47-59
,Cleansing From Infectious Skin Diseases,Leviticus 14:1-32[[@Bible:Leviticus 14:1-32]],Leviticus 14:1-32
,Cleansing From Mildew,Leviticus 14:33-57[[@Bible:Leviticus 14:33-57]],Leviticus 14:33-57
,Discharges Causing Uncleanness,Leviticus 15:1-33[[@Bible:Leviticus 15:1-33]],Leviticus 15:1-33
,The Day of Atonement,Leviticus 16:1-34[[@Bible:Leviticus 16:1-34]],Leviticus 16:1-34
,Eating Blood Forbidden,Leviticus 17:1-16[[@Bible:Leviticus 17:1-16]],Leviticus 17:1-16
,Unlawful Sexual Relations,Leviticus 18:1-30[[@Bible:Leviticus 18:1-30]],Leviticus 18:1-30
,Various Laws,Leviticus 19:1-37[[@Bible:Leviticus 19:1-37]],Leviticus 19:1-37
,Punishments for Sin,Leviticus 20:1-27[[@Bible:Leviticus 20:1-27]],Leviticus 20:1-27
,Rules for Priests,Leviticus 21:1-22:16[[@Bible:Leviticus 21:1-22:16]],Leviticus 21:1-22:16
,Unacceptable Sacrifices,Leviticus 22:17-23:2[[@Bible:Leviticus 22:17-23:2]],Leviticus 22:17-23:2
,The Sabbath,Leviticus 23:3[[@Bible:Leviticus 23:3]],Leviticus 23:3
,The Passover and Unleavened Bread,Leviticus 23:4-8[[@Bible:Leviticus 23:4-8]],Leviticus 23:4-8
,Firstfruits,Leviticus 23:9-14[[@Bible:Leviticus 23:9-14]],Leviticus 23:9-14
,Feast of Weeks,Leviticus 23:15-22[[@Bible:Leviticus 23:15-22]],Leviticus 23:15-22
,Feast of Trumpets,Leviticus 23:23-25[[@Bible:Leviticus 23:23-25]],Leviticus 23:23-25
,Day of Atonement,Leviticus 23:26-32[[@Bible:Leviticus 23:26-32]],Leviticus 23:26-32
,Feast of Tabernacles,Leviticus 23:33-44[[@Bible:Leviticus 23:33-44]],Leviticus 23:33-44
,Oil and Bread Set Before the LORD,Leviticus 24:1-23[[@Bible:Leviticus 24:1-23]],Leviticus 24:1-23
,The Sabbath Year,Leviticus 25:1-7[[@Bible:Leviticus 25:1-7]],Leviticus 25:1-7
,The Year of Jubilee,Leviticus 25:8-55[[@Bible:Leviticus 25:8-55]],Leviticus 25:8-55
,Reward for Obedience,Leviticus 26:1-13[[@Bible:Leviticus 26:1-13]],Leviticus 26:1-13
,Punishment for Disobedience,Leviticus 26:14-46[[@Bible:Leviticus 26:14-46]],Leviticus 26:14-46
,Redeeming What Is the LORD 's,Leviticus 27:1-34[[@Bible:Leviticus 27:1-34]],Leviticus 27:1-34
Numbers,,,
,The Census,Numbers 1:1-54[[@Bible:Numbers 1:1-54]],Numbers 1:1-54
,The Arrangement of the Tribal Camps,Numbers 2:1-34[[@Bible:Numbers 2:1-34]],Numbers 2:1-34
,The Levites,Numbers 3:1-51[[@Bible:Numbers 3:1-51]],Numbers 3:1-51
,The Kohathites,Numbers 4:1-20[[@Bible:Numbers 4:1-20]],Numbers 4:1-20
,The Gershonites,Numbers 4:21-28[[@Bible:Numbers 4:21-28]],Numbers 4:21-28
,The Merarites,Numbers 4:29-33[[@Bible:Numbers 4:29-33]],Numbers 4:29-33
,The Numbering of the Levite Clans,Numbers 4:34-49[[@Bible:Numbers 4:34-49]],Numbers 4:34-49
,The Purity of the Camp,Numbers 5:1-4[[@Bible:Numbers 5:1-4]],Numbers 5:1-4
,Restitution for Wrongs,Numbers 5:5-10[[@Bible:Numbers 5:5-10]],Numbers 5:5-10
,The Test for an Unfaithful Wife,Numbers 5:11-31[[@Bible:Numbers 5:11-31]],Numbers 5:11-31
,The Nazirite,Numbers 6:1-21[[@Bible:Numbers 6:1-21]],Numbers 6:1-21
,The Priestly Blessing,Numbers 6:22-27[[@Bible:Numbers 6:22-27]],Numbers 6:22-27
,Offerings at the Dedication of the Tabernacle,Numbers 7:1-89[[@Bible:Numbers 7:1-89]],Numbers 7:1-89
,Setting Up the Lamps,Numbers 8:1-4[[@Bible:Numbers 8:1-4]],Numbers 8:1-4
,The Setting Apart of the Levites,Numbers 8:5-26[[@Bible:Numbers 8:5-26]],Numbers 8:5-26
,The Passover,Numbers 9:1-14[[@Bible:Numbers 9:1-14]],Numbers 9:1-14
,The Cloud Above the Tabernacle,Numbers 9:15-23[[@Bible:Numbers 9:15-23]],Numbers 9:15-23
,The Silver Trumpets,Numbers 10:1-10[[@Bible:Numbers 10:1-10]],Numbers 10:1-10
,The Israelites Leave Sinai,Numbers 10:11-36[[@Bible:Numbers 10:11-36]],Numbers 10:11-36
,Fire From the LORD,Numbers 11:1-35[[@Bible:Numbers 11:1-35]],Numbers 11:1-35
,Miriam and Aaron Oppose Moses,Numbers 12:1-16[[@Bible:Numbers 12:1-16]],Numbers 12:1-16
,Exploring Canaan,Numbers 13:1-25[[@Bible:Numbers 13:1-25]],Numbers 13:1-25
,Report on the Exploration,Numbers 13:26-33[[@Bible:Numbers 13:26-33]],Numbers 13:26-33
,The People Rebel,Numbers 14:1-45[[@Bible:Numbers 14:1-45]],Numbers 14:1-45
,Supplementary Offerings,Numbers 15:1-21[[@Bible:Numbers 15:1-21]],Numbers 15:1-21
,Offerings for Unintentional Sins,Numbers 15:22-31[[@Bible:Numbers 15:22-31]],Numbers 15:22-31
,The Sabbath-Breaker Put to Death,Numbers 15:32-36[[@Bible:Numbers 15:32-36]],Numbers 15:32-36
,Tassels on Garments,Numbers 15:37-41[[@Bible:Numbers 15:37-41]],Numbers 15:37-41
,"Korah, Dathan and Abiram",Numbers 16:1-50[[@Bible:Numbers 16:1-50]],Numbers 16:1-50
,The Budding of Aaron's Staff,Numbers 17:1-13[[@Bible:Numbers 17:1-13]],Numbers 17:1-13
,Duties of Priests and Levites,Numbers 18:1-7[[@Bible:Numbers 18:1-7]],Numbers 18:1-7
,Offerings for Priests and Levites,Numbers 18:8-32[[@Bible:Numbers 18:8-32]],Numbers 18:8-32
,The Water of Cleansing,Numbers 19:1-22[[@Bible:Numbers 19:1-22]],Numbers 19:1-22
,Water From the Rock,Numbers 20:1-13[[@Bible:Numbers 20:1-13]],Numbers 20:1-13
,Edom Denies Israel Passage,Numbers 20:14-21[[@Bible:Numbers 20:14-21]],Numbers 20:14-21
,The Death of Aaron,Numbers 20:22-29[[@Bible:Numbers 20:22-29]],Numbers 20:22-29
,Arad Destroyed,Numbers 21:1-3[[@Bible:Numbers 21:1-3]],Numbers 21:1-3
,The Bronze Snake,Numbers 21:4-9[[@Bible:Numbers 21:4-9]],Numbers 21:4-9
,The Journey to Moab,Numbers 21:10-20[[@Bible:Numbers 21:10-20]],Numbers 21:10-20
,Defeat of Sihon and Og,Numbers 21:21-35[[@Bible:Numbers 21:21-35]],Numbers 21:21-35
,Balak Summons Balaam,Numbers 22:1-20[[@Bible:Numbers 22:1-20]],Numbers 22:1-20
,Balaam's Donkey,Numbers 22:21-41[[@Bible:Numbers 22:21-41]],Numbers 22:21-41
,Balaam's First Oracle,Numbers 23:1-12[[@Bible:Numbers 23:1-12]],Numbers 23:1-12
,Balaam's Second Oracle,Numbers 23:13-26[[@Bible:Numbers 23:13-26]],Numbers 23:13-26
,Balaam's Third Oracle,Numbers 23:27-24:14[[@Bible:Numbers 23:27-24:14]],Numbers 23:27-24:14
,Balaam's Fourth Oracle,Numbers 24:15-19[[@Bible:Numbers 24:15-19]],Numbers 24:15-19
,Balaam's Final Oracles,Numbers 24:20-25[[@Bible:Numbers 24:20-25]],Numbers 24:20-25
,Moab Seduces Israel,Numbers 25:1-18[[@Bible:Numbers 25:1-18]],Numbers 25:1-18
,The Second Census,Numbers 26:1-65[[@Bible:Numbers 26:1-65]],Numbers 26:1-65
,Zelophehad's Daughters,Numbers 27:1-11[[@Bible:Numbers 27:1-11]],Numbers 27:1-11
