Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,Judgment Against Israel,Hosea 5:1-15[[@Bible:Hosea 5:1-15]],Hosea 5:1-15
,Israel Unrepentant,Hosea 6:1-7:16[[@Bible:Hosea 6:1-7:16]],Hosea 6:1-7:16
,Israel to Reap the Whirlwind,Hosea 8:1-14[[@Bible:Hosea 8:1-14]],Hosea 8:1-14
,Punishment for Israel,Hosea 9:1-10:15[[@Bible:Hosea 9:1-10:15]],Hosea 9:1-10:15
,God's Love for Israel,Hosea 11:1-11[[@Bible:Hosea 11:1-11]],Hosea 11:1-11
,Israel's Sin,Hosea 11:12-12:14[[@Bible:Hosea 11:12-12:14]],Hosea 11:12-12:14
,The Lord 's Anger Against Israel,Hosea 13:1-16[[@Bible:Hosea 13:1-16]],Hosea 13:1-16
,Repentance to Bring Blessing,Hosea 14:1-9[[@Bible:Hosea 14:1-9]],Hosea 14:1-9
Joel,,,
,An Invasion of Locusts,Joel 1:1-12[[@Bible:Joel 1:1-12]],Joel 1:1-12
,A Call to Repentance,Joel 1:13-20[[@Bible:Joel 1:13-20]],Joel 1:13-20
,An Army of Locusts,Joel 2:1-11[[@Bible:Joel 2:1-11]],Joel 2:1-11
,Rend Your Heart,Joel 2:12-17[[@Bible:Joel 2:12-17]],Joel 2:12-17
,The LORD 's Answer,Joel 2:18-27[[@Bible:Joel 2:18-27]],Joel 2:18-27
,The Day of the LORD,Joel 2:28-32[[@Bible:Joel 2:28-32]],Joel 2:28-32
,The Nations Judged,Joel 3:1-16[[@Bible:Joel 3:1-16]],Joel 3:1-16
,Blessings for God's People,Joel 3:17-21[[@Bible:Joel 3:17-21]],Joel 3:17-21
Amos,,,
,Judgment on Israel's Neighbors,Amos 1:1-2:5[[@Bible:Amos 1:1-2:5]],Amos 1:1-2:5
,Judgment on Israel,Amos 2:6-16[[@Bible:Amos 2:6-16]],Amos 2:6-16
,Witnesses Summoned Against Israel,Amos 3:1-15[[@Bible:Amos 3:1-15]],Amos 3:1-15
,Israel Has Not Returned to God,Amos 4:1-13[[@Bible:Amos 4:1-13]],Amos 4:1-13
,A Lament and Call to Repentance,Amos 5:1-17[[@Bible:Amos 5:1-17]],Amos 5:1-17
,The Day of the LORD,Amos 5:18-27[[@Bible:Amos 5:18-27]],Amos 5:18-27
,Woe to the Complacent,Amos 6:1-7[[@Bible:Amos 6:1-7]],Amos 6:1-7
,The LORD Abhors the Pride of Israel,Amos 6:8-14[[@Bible:Amos 6:8-14]],Amos 6:8-14
,"Locusts, Fire and a Plumb Line",Amos 7:1-9[[@Bible:Amos 7:1-9]],Amos 7:1-9
,Amos and Amaziah,Amos 7:10-17[[@Bible:Amos 7:10-17]],Amos 7:10-17
,A Basket of Ripe Fruit,Amos 8:1-14[[@Bible:Amos 8:1-14]],Amos 8:1-14
,Israel to Be Destroyed,Amos 9:1-10[[@Bible:Amos 9:1-10]],Amos 9:1-10
,Israel's Restoration,Amos 9:11-15[[@Bible:Amos 9:11-15]],Amos 9:11-15
Obadiah,,,
,Edom Will Be Humbled,Obadiah 1:1-21[[@Bible:Obadiah 1:1-21]],Obadiah 1:1-21
Jonah,,,
,Jonah Flees From the LORD,Jonah 1:1-17[[@Bible:Jonah 1:1-17]],Jonah 1:1-17
,Jonah's Prayer,Jonah 2:1-10[[@Bible:Jonah 2:1-10]],Jonah 2:1-10
,Jonah Goes to Nineveh,Jonah 3:1-10[[@Bible:Jonah 3:1-10]],Jonah 3:1-10
,Jonah's Anger at the Lord 's Compassion,Jonah 4:1-11[[@Bible:Jonah 4:1-11]],Jonah 4:1-11
Micah,,,
,Judgment Against Samaria and Jerusalem,Micah 1:1-7[[@Bible:Micah 1:1-7]],Micah 1:1-7
,Weeping and Mourning,Micah 1:8-16[[@Bible:Micah 1:8-16]],Micah 1:8-16
,Man's Plans and God's,Micah 2:1-5[[@Bible:Micah 2:1-5]],Micah 2:1-5
,False Prophets,Micah 2:6-11[[@Bible:Micah 2:6-11]],Micah 2:6-11
,Deliverance Promised,Micah 2:12-13[[@Bible:Micah 2:12-13]],Micah 2:12-13
,Leaders and Prophets Rebuked,Micah 3:1-12[[@Bible:Micah 3:1-12]],Micah 3:1-12
,The Mountain of the LORD,Micah 4:1-13[[@Bible:Micah 4:1-13]],Micah 4:1-13
,A Promised Ruler From Bethlehem,Micah 5:1-5[[@Bible:Micah 5:1-5]],Micah 5:1-5
,Deliverance and Destruction,Micah 5:6-15[[@Bible:Micah 5:6-15]],Micah 5:6-15
,The LORD 's Case Against Israel,Micah 6:1-8[[@Bible:Micah 6:1-8]],Micah 6:1-8
,Israel's Guilt and Punishment,Micah 6:9-16[[@Bible:Micah 6:9-16]],Micah 6:9-16
,Israel's Misery,Micah 7:1-7[[@Bible:Micah 7:1-7]],Micah 7:1-7
,Israel Will Rise,Micah 7:8-13[[@Bible:Micah 7:8-13]],Micah 7:8-13
,Prayer and Praise,Micah 7:14-20[[@Bible:Micah 7:14-20]],Micah 7:14-20
Nahum,,,
,The Lord 's Anger Against Nineveh,Nahum 1:1-15[[@Bible:Nahum 1:1-15]],Nahum 1:1-15
,Nineveh to Fall,Nahum 2:1-13[[@Bible:Nahum 2:1-13]],Nahum 2:1-13
,Woe to Nineveh,Nahum 3:1-19[[@Bible:Nahum 3:1-19]],Nahum 3:1-19
Habakkuk,,,
,Habakkuk's Complaint,Habakkuk 1:1-4[[@Bible:Habakkuk 1:1-4]],Habakkuk 1:1-4
,The Lord 's Answer,Habakkuk 1:5-11[[@Bible:Habakkuk 1:5-11]],Habakkuk 1:5-11
,Habakkuk's Second Complaint,Habakkuk 1:12-2:1[[@Bible:Habakkuk 1:12-2:1]],Habakkuk 1:12-2:1
,The LORD 's Answer,Habakkuk 2:2-20[[@Bible:Habakkuk 2:2-20]],Habakkuk 2:2-20
,Habakkuk's Prayer,Habakkuk 3:1-19[[@Bible:Habakkuk 3:1-19]],Habakkuk 3:1-19
Zephaniah,,,
,Warning of Coming Destruction,Zephaniah 1:1-3[[@Bible:Zephaniah 1:1-3]],Zephaniah 1:1-3
,Against Judah,Zephaniah 1:4-13[[@Bible:Zephaniah 1:4-13]],Zephaniah 1:4-13
,The Great Day of the Lord,Zephaniah 1:14-2:3[[@Bible:Zephaniah 1:14-2:3]],Zephaniah 1:14-2:3
,Against Philistia,Zephaniah 2:4-7[[@Bible:Zephaniah 2:4-7]],Zephaniah 2:4-7
,Against Moab and Ammon,Zephaniah 2:8-11[[@Bible:Zephaniah 2:8-11]],Zephaniah 2:8-11
,Against Cush,Zephaniah 2:12[[@Bible:Zephaniah 2:12]],Zephaniah 2:12
,Against Assyria,Zephaniah 2:13-15[[@Bible:Zephaniah 2:13-15]],Zephaniah 2:13-15
,The Future of Jerusalem,Zephaniah 3:1-20[[@Bible:Zephaniah 3:1-20]],Zephaniah 3:1-20
Haggai,,,
,A Call to Build the House of the LORD,Haggai 1:1-15[[@Bible:Haggai 1:1-15]],Haggai 1:1-15
,The Promised Glory of the New House,Haggai 2:1-9[[@Bible:Haggai 2:1-9]],Haggai 2:1-9
,Blessings for a Defiled People,Haggai 2:10-19[[@Bible:Haggai 2:10-19]],Haggai 2:10-19
,Zerubbabel the LORD 's Signet Ring,Haggai 2:20-23[[@Bible:Haggai 2:20-23]],Haggai 2:20-23
Zechariah,,,
,A Call to Return to the LORD,Zechariah 1:1-17[[@Bible:Zechariah 1:1-17]],Zechariah 1:1-17
,Four Horns and Four Craftsmen,Zechariah 1:18-21[[@Bible:Zechariah 1:18-21]],Zechariah 1:18-21
,A Man With a Measuring Line,Zechariah 2:1-13[[@Bible:Zechariah 2:1-13]],Zechariah 2:1-13
,Clean Garments for the High Priest,Zechariah 3:1-10[[@Bible:Zechariah 3:1-10]],Zechariah 3:1-10
,The Gold Lampstand and the Two Olive Trees,Zechariah 4:1-14[[@Bible:Zechariah 4:1-14]],Zechariah 4:1-14
,The Flying Scroll,Zechariah 5:1-4[[@Bible:Zechariah 5:1-4]],Zechariah 5:1-4
,The Woman in a Basket,Zechariah 5:5-11[[@Bible:Zechariah 5:5-11]],Zechariah 5:5-11
,Four Chariots,Zechariah 6:1-8[[@Bible:Zechariah 6:1-8]],Zechariah 6:1-8
,A Crown for Joshua,Zechariah 6:9-15[[@Bible:Zechariah 6:9-15]],Zechariah 6:9-15
,"Justice and Mercy, Not Fasting",Zechariah 7:1-14[[@Bible:Zechariah 7:1-14]],Zechariah 7:1-14
,The LORD Promises to Bless Jerusalem,Zechariah 8:1-23[[@Bible:Zechariah 8:1-23]],Zechariah 8:1-23
,Judgment on Israel's Enemies,Zechariah 9:1[[@Bible:Zechariah 9:1]],Zechariah 9:1
,An Oracle,Zechariah 9:2-8[[@Bible:Zechariah 9:2-8]],Zechariah 9:2-8
,The Coming of Zion's King,Zechariah 9:9-13[[@Bible:Zechariah 9:9-13]],Zechariah 9:9-13
,The LORD Will Appear,Zechariah 9:14-17[[@Bible:Zechariah 9:14-17]],Zechariah 9:14-17
,The LORD Will Care for Judah,Zechariah 10:1-11:3[[@Bible:Zechariah 10:1-11:3]],Zechariah 10:1-11:3
,Two Shepherds,Zechariah 11:4-17[[@Bible:Zechariah 11:4-17]],Zechariah 11:4-17
,Jerusalem's Enemies to Be Destroyed,Zechariah 12:1[[@Bible:Zechariah 12:1]],Zechariah 12:1
,An Oracle,Zechariah 12:2-9[[@Bible:Zechariah 12:2-9]],Zechariah 12:2-9
,Mourning for the One They Pierced,Zechariah 12:10-14[[@Bible:Zechariah 12:10-14]],Zechariah 12:10-14
,Cleansing From Sin,Zechariah 13:1-6[[@Bible:Zechariah 13:1-6]],Zechariah 13:1-6
,"The Shepherd Struck, the Sheep Scattered",Zechariah 13:7-9[[@Bible:Zechariah 13:7-9]],Zechariah 13:7-9
,The LORD Comes and Reigns,Zechariah 14:1-21[[@Bible:Zechariah 14:1-21]],Zechariah 14:1-21
Malachi,,,
,"Jacob Loved, Esau Hated",Malachi 1:1-5[[@Bible:Malachi 1:1-5]],Malachi 1:1-5
,Blemished Sacrifices,Malachi 1:6-14[[@Bible:Malachi 1:6-14]],Malachi 1:6-14
,Admonition for the Priests,Malachi 2:1-9[[@Bible:Malachi 2:1-9]],Malachi 2:1-9
,Judah Unfaithful,Malachi 2:10-16[[@Bible:Malachi 2:10-16]],Malachi 2:10-16
,The Day of Judgment,Malachi 2:17-3:5[[@Bible:Malachi 2:17-3:5]],Malachi 2:17-3:5
,Robbing God,Malachi 3:6-18[[@Bible:Malachi 3:6-18]],Malachi 3:6-18
,The Day of the LORD,Malachi 4:1-6[[@Bible:Malachi 4:1-6]],Malachi 4:1-6
Matthew,,,
,The Genealogy of Jesus,Matthew 1:1-17[[@Bible:Matthew 1:1-17]],Matthew 1:1-17
,The Birth of Jesus Christ,Matthew 1:18-25[[@Bible:Matthew 1:18-25]],Matthew 1:18-25
,The Visit of the Magi,Matthew 2:1-12[[@Bible:Matthew 2:1-12]],Matthew 2:1-12
,The Escape to Egypt,Matthew 2:13-18[[@Bible:Matthew 2:13-18]],Matthew 2:13-18
,The Return to Nazareth,Matthew 2:19-23[[@Bible:Matthew 2:19-23]],Matthew 2:19-23
,John the Baptist Prepares the Way,Matthew 3:1-12[[@Bible:Matthew 3:1-12]],Matthew 3:1-12
,The Baptism of Jesus,Matthew 3:13-17[[@Bible:Matthew 3:13-17]],Matthew 3:13-17
,The Temptation of Jesus,Matthew 4:1-11[[@Bible:Matthew 4:1-11]],Matthew 4:1-11
,Jesus Begins to Preach,Matthew 4:12-17[[@Bible:Matthew 4:12-17]],Matthew 4:12-17
,The Calling of the First Disciples,Matthew 4:18-22[[@Bible:Matthew 4:18-22]],Matthew 4:18-22
,Jesus Heals the Sick,Matthew 4:23-25[[@Bible:Matthew 4:23-25]],Matthew 4:23-25
,The Beatitudes,Matthew 5:1-12[[@Bible:Matthew 5:1-12]],Matthew 5:1-12
,Salt and Light,Matthew 5:13-16[[@Bible:Matthew 5:13-16]],Matthew 5:13-16
,The Fulfillment of the Law,Matthew 5:17-20[[@Bible:Matthew 5:17-20]],Matthew 5:17-20
,Murder,Matthew 5:21-26[[@Bible:Matthew 5:21-26]],Matthew 5:21-26
,Adultery,Matthew 5:27-30[[@Bible:Matthew 5:27-30]],Matthew 5:27-30
,Divorce,Matthew 5:31-32[[@Bible:Matthew 5:31-32]],Matthew 5:31-32
,Oaths,Matthew 5:33-37[[@Bible:Matthew 5:33-37]],Matthew 5:33-37
,An Eye for an Eye,Matthew 5:38-42[[@Bible:Matthew 5:38-42]],Matthew 5:38-42
,Love for Enemies,Matthew 5:43-48[[@Bible:Matthew 5:43-48]],Matthew 5:43-48
,Giving to the Needy,Matthew 6:1-4[[@Bible:Matthew 6:1-4]],Matthew 6:1-4
,Prayer,Matthew 6:5-15[[@Bible:Matthew 6:5-15]],Matthew 6:5-15
,Fasting,Matthew 6:16-18[[@Bible:Matthew 6:16-18]],Matthew 6:16-18
,Treasures in Heaven,Matthew 6:19-24[[@Bible:Matthew 6:19-24]],Matthew 6:19-24
,Do Not Worry,Matthew 6:25-34[[@Bible:Matthew 6:25-34]],Matthew 6:25-34
,Judging Others,Matthew 7:1-6[[@Bible:Matthew 7:1-6]],Matthew 7:1-6
,"Ask, Seek, Knock",Matthew 7:7-12[[@Bible:Matthew 7:7-12]],Matthew 7:7-12
,The Narrow and Wide Gates,Matthew 7:13-14[[@Bible:Matthew 7:13-14]],Matthew 7:13-14
,A Tree and Its Fruit,Matthew 7:15-23[[@Bible:Matthew 7:15-23]],Matthew 7:15-23
,The Wise and Foolish Builders,Matthew 7:24-29[[@Bible:Matthew 7:24-29]],Matthew 7:24-29
,The Man With Leprosy,Matthew 8:1-4[[@Bible:Matthew 8:1-4]],Matthew 8:1-4
,The Faith of the Centurion,Matthew 8:5-13[[@Bible:Matthew 8:5-13]],Matthew 8:5-13
,Jesus Heals Many,Matthew 8:14-17[[@Bible:Matthew 8:14-17]],Matthew 8:14-17
,The Cost of Following Jesus,Matthew 8:18-22[[@Bible:Matthew 8:18-22]],Matthew 8:18-22
,Jesus Calms the Storm,Matthew 8:23-27[[@Bible:Matthew 8:23-27]],Matthew 8:23-27
,The Healing of Two Demon-possessed Men,Matthew 8:28-34[[@Bible:Matthew 8:28-34]],Matthew 8:28-34
,Jesus Heals a Paralytic,Matthew 9:1-8[[@Bible:Matthew 9:1-8]],Matthew 9:1-8
,The Calling of Matthew,Matthew 9:9-13[[@Bible:Matthew 9:9-13]],Matthew 9:9-13
,Jesus Questioned About Fasting,Matthew 9:14-17[[@Bible:Matthew 9:14-17]],Matthew 9:14-17
,A Dead Girl and a Sick Woman,Matthew 9:18-26[[@Bible:Matthew 9:18-26]],Matthew 9:18-26
,Jesus Heals the Blind and Mute,Matthew 9:27-34[[@Bible:Matthew 9:27-34]],Matthew 9:27-34
,The Workers Are Few,Matthew 9:35-38[[@Bible:Matthew 9:35-38]],Matthew 9:35-38
,Jesus Sends Out the Twelve,Matthew 10:1-42[[@Bible:Matthew 10:1-42]],Matthew 10:1-42
,Jesus and John the Baptist,Matthew 11:1-19[[@Bible:Matthew 11:1-19]],Matthew 11:1-19
,Woe on Unrepentant Cities,Matthew 11:20-24[[@Bible:Matthew 11:20-24]],Matthew 11:20-24
,Rest for the Weary,Matthew 11:25-30[[@Bible:Matthew 11:25-30]],Matthew 11:25-30
,Lord of the Sabbath,Matthew 12:1-14[[@Bible:Matthew 12:1-14]],Matthew 12:1-14
,God's Chosen Servant,Matthew 12:15-21[[@Bible:Matthew 12:15-21]],Matthew 12:15-21
,Jesus and Beelzebub,Matthew 12:22-37[[@Bible:Matthew 12:22-37]],Matthew 12:22-37
,The Sign of Jonah,Matthew 12:38-45[[@Bible:Matthew 12:38-45]],Matthew 12:38-45
,Jesus' Mother and Brothers,Matthew 12:46-50[[@Bible:Matthew 12:46-50]],Matthew 12:46-50
,The Parable of the Sower,Matthew 13:1-23[[@Bible:Matthew 13:1-23]],Matthew 13:1-23
,The Parable of the Weeds,Matthew 13:24-30[[@Bible:Matthew 13:24-30]],Matthew 13:24-30
,The Parables of the Mustard Seed and the Yeast,Matthew 13:31-35[[@Bible:Matthew 13:31-35]],Matthew 13:31-35
,The Parable of the Weeds Explained,Matthew 13:36-43[[@Bible:Matthew 13:36-43]],Matthew 13:36-43
,The Parables of the Hidden Treasure and the Pearl,Matthew 13:44-46[[@Bible:Matthew 13:44-46]],Matthew 13:44-46
,The Parable of the Net,Matthew 13:47-52[[@Bible:Matthew 13:47-52]],Matthew 13:47-52
,A Prophet Without Honor,Matthew 13:53-58[[@Bible:Matthew 13:53-58]],Matthew 13:53-58
,John the Baptist Beheaded,Matthew 14:1-12[[@Bible:Matthew 14:1-12]],Matthew 14:1-12
,Jesus Feeds the Five Thousand,Matthew 14:13-21[[@Bible:Matthew 14:13-21]],Matthew 14:13-21
,Jesus Walks on the Water,Matthew 14:22-36[[@Bible:Matthew 14:22-36]],Matthew 14:22-36
,Clean and Unclean,Matthew 15:1-28[[@Bible:Matthew 15:1-28]],Matthew 15:1-28
,Jesus Feeds the Four Thousand,Matthew 15:29-39[[@Bible:Matthew 15:29-39]],Matthew 15:29-39
,The Demand for a Sign,Matthew 16:1-4[[@Bible:Matthew 16:1-4]],Matthew 16:1-4
,The Yeast of the Pharisees and Sadducees,Matthew 16:5-12[[@Bible:Matthew 16:5-12]],Matthew 16:5-12
,Peter's Confession of Christ,Matthew 16:13-20[[@Bible:Matthew 16:13-20]],Matthew 16:13-20
,Jesus Predicts His Death,Matthew 16:21-28[[@Bible:Matthew 16:21-28]],Matthew 16:21-28
,The Transfiguration,Matthew 17:1-13[[@Bible:Matthew 17:1-13]],Matthew 17:1-13
,The Healing of a Boy With a Demon,Matthew 17:14-23[[@Bible:Matthew 17:14-23]],Matthew 17:14-23
,The Temple Tax,Matthew 17:24-27[[@Bible:Matthew 17:24-27]],Matthew 17:24-27
,The Greatest in the Kingdom of Heaven,Matthew 18:1-9[[@Bible:Matthew 18:1-9]],Matthew 18:1-9
,The Parable of the Lost Sheep,Matthew 18:10-14[[@Bible:Matthew 18:10-14]],Matthew 18:10-14
,A Brother Who Sins Against You,Matthew 18:15-20[[@Bible:Matthew 18:15-20]],Matthew 18:15-20
,The Parable of the Unmerciful Servant,Matthew 18:21-35[[@Bible:Matthew 18:21-35]],Matthew 18:21-35
,Divorce,Matthew 19:1-15[[@Bible:Matthew 19:1-15]],Matthew 19:1-15
,The Rich Young Man,Matthew 19:16-30[[@Bible:Matthew 19:16-30]],Matthew 19:16-30
,The Parable of the Workers in the Vineyard,Matthew 20:1-16[[@Bible:Matthew 20:1-16]],Matthew 20:1-16
,Jesus Again Predicts His Death,Matthew 20:17-19[[@Bible:Matthew 20:17-19]],Matthew 20:17-19
,A Mother's Request,Matthew 20:20-28[[@Bible:Matthew 20:20-28]],Matthew 20:20-28
,Two Blind Men Receive Sight,Matthew 20:29-34[[@Bible:Matthew 20:29-34]],Matthew 20:29-34
,The Triumphal Entry,Matthew 21:1-11[[@Bible:Matthew 21:1-11]],Matthew 21:1-11
,Jesus at the Temple,Matthew 21:12-17[[@Bible:Matthew 21:12-17]],Matthew 21:12-17
,The Fig Tree Withers,Matthew 21:18-22[[@Bible:Matthew 21:18-22]],Matthew 21:18-22
,The Authority of Jesus Questioned,Matthew 21:23-27[[@Bible:Matthew 21:23-27]],Matthew 21:23-27
,The Parable of the Two Sons,Matthew 21:28-32[[@Bible:Matthew 21:28-32]],Matthew 21:28-32
,The Parable of the Tenants,Matthew 21:33-46[[@Bible:Matthew 21:33-46]],Matthew 21:33-46
,The Parable of the Wedding Banquet,Matthew 22:1-14[[@Bible:Matthew 22:1-14]],Matthew 22:1-14
,Paying Taxes to Caesar,Matthew 22:15-22[[@Bible:Matthew 22:15-22]],Matthew 22:15-22
,Marriage at the Resurrection,Matthew 22:23-33[[@Bible:Matthew 22:23-33]],Matthew 22:23-33
,The Greatest Commandment,Matthew 22:34-40[[@Bible:Matthew 22:34-40]],Matthew 22:34-40
,Whose Son Is the Christ,Matthew 22:41-46[[@Bible:Matthew 22:41-46]],Matthew 22:41-46
,Seven Woes,Matthew 23:1-39[[@Bible:Matthew 23:1-39]],Matthew 23:1-39
,Signs of the End of the Age,Matthew 24:1-35[[@Bible:Matthew 24:1-35]],Matthew 24:1-35
,The Day and Hour Unknown,Matthew 24:36-51[[@Bible:Matthew 24:36-51]],Matthew 24:36-51
,The Parable of the Ten Virgins,Matthew 25:1-13[[@Bible:Matthew 25:1-13]],Matthew 25:1-13
,The Parable of the Talents,Matthew 25:14-30[[@Bible:Matthew 25:14-30]],Matthew 25:14-30
,The Sheep and the Goats,Matthew 25:31-46[[@Bible:Matthew 25:31-46]],Matthew 25:31-46
,The Plot Against Jesus,Matthew 26:1-5[[@Bible:Matthew 26:1-5]],Matthew 26:1-5
,Jesus Anointed at Bethany,Matthew 26:6-13[[@Bible:Matthew 26:6-13]],Matthew 26:6-13
,Judas Agrees to Betray Jesus,Matthew 26:14-16[[@Bible:Matthew 26:14-16]],Matthew 26:14-16
,The Lord's Supper,Matthew 26:17-30[[@Bible:Matthew 26:17-30]],Matthew 26:17-30
,Jesus Predicts Peter's Denial,Matthew 26:31-35[[@Bible:Matthew 26:31-35]],Matthew 26:31-35
,Gethsemane,Matthew 26:36-46[[@Bible:Matthew 26:36-46]],Matthew 26:36-46
,Jesus Arrested,Matthew 26:47-56[[@Bible:Matthew 26:47-56]],Matthew 26:47-56
,Before the Sanhedrin,Matthew 26:57-68[[@Bible:Matthew 26:57-68]],Matthew 26:57-68
,Peter Disowns Jesus,Matthew 26:69-75[[@Bible:Matthew 26:69-75]],Matthew 26:69-75
,Judas Hangs Himself,Matthew 27:1-10[[@Bible:Matthew 27:1-10]],Matthew 27:1-10
,Jesus Before Pilate,Matthew 27:11-26[[@Bible:Matthew 27:11-26]],Matthew 27:11-26
,The Soldiers Mock Jesus,Matthew 27:27-31[[@Bible:Matthew 27:27-31]],Matthew 27:27-31
,The Crucifixion,Matthew 27:32-44[[@Bible:Matthew 27:32-44]],Matthew 27:32-44
,The Death of Jesus,Matthew 27:45-56[[@Bible:Matthew 27:45-56]],Matthew 27:45-56
,The Burial of Jesus,Matthew 27:57-61[[@Bible:Matthew 27:57-61]],Matthew 27:57-61
,The Guard at the Tomb,Matthew 27:62-66[[@Bible:Matthew 27:62-66]],Matthew 27:62-66
,The Resurrection,Matthew 28:1-10[[@Bible:Matthew 28:1-10]],Matthew 28:1-10
,The Guards' Report,Matthew 28:11-15[[@Bible:Matthew 28:11-15]],Matthew 28:11-15
,The Great Commission,Matthew 28:16-20[[@Bible:Matthew 28:16-20]],Matthew 28:16-20
Mark,,,
,John the Baptist Prepares the Way,Mark 1:1-8[[@Bible:Mark 1:1-8]],Mark 1:1-8
,The Baptism and Temptation of Jesus,Mark 1:9-13[[@Bible:Mark 1:9-13]],Mark 1:9-13
,The Calling of the First Disciples,Mark 1:14-20[[@Bible:Mark 1:14-20]],Mark 1:14-20
,Jesus Drives Out an Evil Spirit,Mark 1:21-28[[@Bible:Mark 1:21-28]],Mark 1:21-28
,Jesus Heals Many,Mark 1:29-34[[@Bible:Mark 1:29-34]],Mark 1:29-34
,Jesus Prays in a Solitary Place,Mark 1:35-39[[@Bible:Mark 1:35-39]],Mark 1:35-39
,A Man With Leprosy,Mark 1:40-45[[@Bible:Mark 1:40-45]],Mark 1:40-45
,Jesus Heals a Paralytic,Mark 2:1-12[[@Bible:Mark 2:1-12]],Mark 2:1-12
,The Calling of Levi,Mark 2:13-17[[@Bible:Mark 2:13-17]],Mark 2:13-17
,Jesus Questioned About Fasting,Mark 2:18-22[[@Bible:Mark 2:18-22]],Mark 2:18-22
,Lord of the Sabbath,Mark 2:23-3:6[[@Bible:Mark 2:23-3:6]],Mark 2:23-3:6
,Crowds Follow Jesus,Mark 3:7-12[[@Bible:Mark 3:7-12]],Mark 3:7-12
,The Appointing of the Twelve Apostles,Mark 3:13-19[[@Bible:Mark 3:13-19]],Mark 3:13-19
,Jesus and Beelzebub,Mark 3:20-30[[@Bible:Mark 3:20-30]],Mark 3:20-30
,Jesus' Mother and Brothers,Mark 3:31-35[[@Bible:Mark 3:31-35]],Mark 3:31-35
,The Parable of the Sower,Mark 4:1-20[[@Bible:Mark 4:1-20]],Mark 4:1-20
,A Lamp on a Stand,Mark 4:21-25[[@Bible:Mark 4:21-25]],Mark 4:21-25
,The Parable of the Growing Seed,Mark 4:26-29[[@Bible:Mark 4:26-29]],Mark 4:26-29
,The Parable of the Mustard Seed,Mark 4:30-34[[@Bible:Mark 4:30-34]],Mark 4:30-34
,Jesus Calms the Storm,Mark 4:35-41[[@Bible:Mark 4:35-41]],Mark 4:35-41
,The Healing of a Demon-possessed Man,Mark 5:1-20[[@Bible:Mark 5:1-20]],Mark 5:1-20
,A Dead Girl and a Sick Woman,Mark 5:21-43[[@Bible:Mark 5:21-43]],Mark 5:21-43
,A Prophet Without Honor,Mark 6:1-6[[@Bible:Mark 6:1-6]],Mark 6:1-6
,Jesus Sends Out the Twelve,Mark 6:7-13[[@Bible:Mark 6:7-13]],Mark 6:7-13
,John the Baptist Beheaded,Mark 6:14-29[[@Bible:Mark 6:14-29]],Mark 6:14-29
,Jesus Feeds the Five Thousand,Mark 6:30-44[[@Bible:Mark 6:30-44]],Mark 6:30-44
,Jesus Walks on the Water,Mark 6:45-56[[@Bible:Mark 6:45-56]],Mark 6:45-56
,Clean and Unclean,Mark 7:1-23[[@Bible:Mark 7:1-23]],Mark 7:1-23
,The Faith of a Syrophoenician Woman,Mark 7:24-30[[@Bible:Mark 7:24-30]],Mark 7:24-30
,The Healing of a Deaf and Mute Man,Mark 7:31-37[[@Bible:Mark 7:31-37]],Mark 7:31-37
,Jesus Feeds the Four Thousand,Mark 8:1-13[[@Bible:Mark 8:1-13]],Mark 8:1-13
,The Yeast of the Pharisees and Herod,Mark 8:14-21[[@Bible:Mark 8:14-21]],Mark 8:14-21
,The Healing of a Blind Man at Bethsaida,Mark 8:22-26[[@Bible:Mark 8:22-26]],Mark 8:22-26
,Peter's Confession of Christ,Mark 8:27-30[[@Bible:Mark 8:27-30]],Mark 8:27-30
,Jesus Predicts His Death,Mark 8:31-9:1[[@Bible:Mark 8:31-9:1]],Mark 8:31-9:1
,The Transfiguration,Mark 9:2-13[[@Bible:Mark 9:2-13]],Mark 9:2-13
,The Healing of a Boy with an Evil Spirit,Mark 9:14-32[[@Bible:Mark 9:14-32]],Mark 9:14-32
,Who is Greatest?,Mark 9:33-37[[@Bible:Mark 9:33-37]],Mark 9:33-37
,Whoever Is Not Against Us Is for Us,Mark 9:38-41[[@Bible:Mark 9:38-41]],Mark 9:38-41
,Causing to Sin,Mark 9:42-50[[@Bible:Mark 9:42-50]],Mark 9:42-50
,Divorce,Mark 10:1-12[[@Bible:Mark 10:1-12]],Mark 10:1-12
,The Little Children and Jesus,Mark 10:13-16[[@Bible:Mark 10:13-16]],Mark 10:13-16
,The Rich Young Man,Mark 10:17-31[[@Bible:Mark 10:17-31]],Mark 10:17-31
,Jesus Again Predicts His Death,Mark 10:32-34[[@Bible:Mark 10:32-34]],Mark 10:32-34
,The Request of James and John,Mark 10:35-45[[@Bible:Mark 10:35-45]],Mark 10:35-45
,Blind Bartimaeus Receives His Sight,Mark 10:46-52[[@Bible:Mark 10:46-52]],Mark 10:46-52
,The Triumphal Entry,Mark 11:1-11[[@Bible:Mark 11:1-11]],Mark 11:1-11
,Jesus Clears the Temple,Mark 11:12-19[[@Bible:Mark 11:12-19]],Mark 11:12-19
,The Withered Fig Tree,Mark 11:20-26[[@Bible:Mark 11:20-26]],Mark 11:20-26
,The Authority of Jesus Questioned,Mark 11:27-33[[@Bible:Mark 11:27-33]],Mark 11:27-33
